% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
23	1	2	2	0	0	0	81	0	1	1	0
24	1	2	2	0	0	0	81	0	1	1	0
25	1	2	2	0	0	0	81	0	1	1	0
26	1	2	2	0	0	0	81	0	1	1	0
27	1	2	2	0	0	0	81	0	1	1	0
28	1	2	2	0	0	28	2196	0	1	1	0
29	1	2	2	0	0	28	2196	0	1	1	0
30	1	2	2	0	0	28	2196	0	1	1	0
31	1	2	2	0	0	28	2196	0	1	1	0
32	1	2	2	0	0	28	2196	0	1	1	0
33	1	2	2	0	0	28	2196	0	1	1	0
34	1	2	2	0	0	28	2196	0	1	1	0
35	1	2	2	0	0	28	2196	0	1	1	0
36	1	2	2	0	0	28	2196	0	1	1	0
37	1	2	2	0	0	28	2196	0	1	1	0
38	1	2	2	0	0	28	2196	0	1	1	0
39	1	2	2	0	0	28	2196	0	1	1	0
40	1	2	2	0	0	28	2196	0	1	1	0
41	1	2	2	0	0	28	2196	0	1	1	0
42	1	2	2	0	0	28	2196	0	1	1	0
43	1	2	2	0	0	28	2196	0	1	1	0
44	1	2	2	0	0	28	2196	0	1	1	0
45	1	2	2	0	0	28	2196	0	1	1	0
46	1	2	2	0	0	28	2196	0	1	1	0
47	1	2	2	0	0	28	2196	0	1	1	0
48	1	2	2	0	0	28	2196	0	1	1	0
49	1	2	2	0	0	28	2196	0	1	1	0
50	1	2	2	0	0	28	2196	0	1	1	0
51	1	2	2	0	0	28	2196	0	1	1	0
52	1	2	2	0	0	28	2196	0	1	1	0
53	1	2	2	0	0	28	2196	0	1	1	0
54	1	2	2	0	0	28	2196	0	1	1	0
55	1	2	2	0	0	28	2196	0	1	1	0
56	1	2	2	0	0	28	2196	0	1	1	0
57	1	2	2	0	0	28	2196	0	1	1	0
58	1	2	2	0	0	28	2196	0	1	1	0
59	1	2	2	0	0	28	2196	0	1	1	0
60	1	2	2	0	0	28	2196	0	1	1	0
61	1	2	2	0	0	28	2196	0	1	1	0
62	1	2	2	0	0	28	2196	0	1	1	0
63	1	2	2	0	0	28	2196	0	1	1	0
64	1	2	2	0	0	28	2196	0	1	1	0
65	1	2	2	0	0	28	2196	0	1	1	0
66	1	2	2	0	0	28	2196	0	1	1	0
67	1	2	2	0	0	28	2196	0	1	1	0
68	1	2	2	0	0	28	2196	0	1	1	0
69	1	2	2	0	0	28	2196	0	1	1	0
70	1	2	2	0	0	28	2196	0	1	1	0
71	1	2	2	0	0	28	2196	0	1	1	0
72	1	2	2	0	0	28	2196	0	1	1	0
73	1	2	2	0	0	28	2196	0	1	1	0
74	1	2	2	0	0	28	2196	0	1	1	0
75	1	2	2	0	0	28	2196	0	1	1	0
76	1	2	2	0	0	28	2196	0	1	1	0
77	1	2	2	0	0	28	2196	0	1	1	0
78	1	2	2	0	0	28	2196	0	1	1	0
79	1	2	2	0	0	28	2196	0	1	1	0
80	1	2	2	0	0	28	2196	0	1	1	0
81	1	2	2	0	0	28	2196	0	1	1	0
82	1	2	2	0	0	28	2196	0	1	1	0
83	1	2	2	0	0	28	2196	0	1	1	0
84	1	2	2	0	0	28	2196	0	1	1	0
85	1	2	2	0	0	28	2196	0	1	1	0
86	1	2	2	0	0	28	2196	0	1	1	0
87	1	2	2	0	0	28	2196	0	1	1	0
88	1	2	2	0	0	28	2196	0	1	1	0
89	1	2	2	0	0	28	2196	0	1	1	0
90	1	2	2	0	0	28	2196	0	1	1	0
91	1	2	2	0	0	28	2196	0	1	1	0
92	1	2	2	0	0	28	2196	0	1	1	0
93	1	2	2	0	0	28	2196	0	1	1	0
94	1	2	2	0	0	28	2196	0	1	1	0
95	1	2	2	0	0	28	2196	0	1	1	0
96	1	2	2	0	0	28	2196	0	1	1	0
97	1	2	2	0	0	28	2196	0	1	1	0
98	1	2	2	0	0	28	2196	0	1	1	0
99	1	2	2	0	0	28	2196	0	1	1	0
100	1	2	2	0	0	28	2196	0	1	1	0
101	1	2	2	0	0	28	2196	0	1	1	0
102	1	2	2	0	0	28	2196	0	1	1	0
103	1	2	2	0	0	28	2196	0	1	1	0
104	1	2	2	0	0	28	2196	0	1	1	0
105	1	2	2	0	0	28	2196	0	1	1	0
106	1	2	2	0	0	28	2196	0	1	1	0
107	1	2	2	0	0	28	2196	0	1	1	0
108	1	2	2	0	0	28	2196	0	1	1	0
109	1	2	2	0	0	28	2196	0	1	1	0
110	1	2	2	0	0	28	2196	0	1	1	0
111	1	2	2	0	0	28	2196	0	1	1	0
112	1	2	2	0	0	28	2196	0	1	1	0
113	1	2	2	0	0	28	2196	0	1	1	0
114	1	2	2	0	0	28	2196	0	1	1	0
115	1	2	2	0	0	28	2196	0	1	1	0
116	1	2	2	0	0	28	2196	0	1	1	0
117	1	2	2	0	0	28	2196	0	1	1	0
118	1	2	2	0	0	28	2196	0	1	1	0
119	1	2	2	0	0	28	2196	0	1	1	0
120	1	2	2	0	0	28	2196	0	1	1	0
121	1	2	2	0	0	28	2196	0	1	1	0
122	1	2	2	0	0	28	2196	0	1	1	0
123	1	2	2	0	0	28	2196	0	1	1	0
124	1	2	2	0	0	28	2196	0	1	1	0
125	1	2	2	0	0	28	2196	0	1	1	0
126	1	2	2	0	0	28	2196	0	1	1	0
127	1	2	2	0	0	28	2196	0	1	1	0
128	1	2	2	0	0	28	2196	0	1	1	0
129	1	2	2	0	0	28	2196	0	1	1	0
130	1	2	2	0	0	28	2196	0	1	1	0
131	1	2	2	0	0	28	2196	0	1	1	0
132	1	2	2	0	0	28	2196	0	1	1	0
133	1	2	2	0	0	28	2196	0	1	1	0
134	1	2	2	0	0	28	2196	0	1	1	0
135	1	2	2	0	0	28	2196	0	1	1	0
136	1	2	2	0	0	28	2196	0	1	1	0
137	1	2	2	0	0	28	2196	0	1	1	0
138	1	2	2	0	0	28	2196	0	1	1	0
139	1	2	2	0	0	28	2196	0	1	1	0
140	1	2	2	0	0	28	2196	0	1	1	0
141	1	2	2	0	0	28	2196	0	1	1	0
142	1	2	2	0	0	28	2196	0	1	1	0
143	1	2	2	0	0	28	2196	0	1	1	0
144	1	2	2	0	0	28	2196	0	1	1	0
145	1	2	2	0	0	28	2196	0	1	1	0
146	1	2	2	0	0	28	2196	0	1	1	0
147	1	2	2	0	0	28	2196	0	1	1	0
148	1	2	2	0	0	28	2196	0	1	1	0
149	1	2	2	0	0	28	2196	0	1	1	0
150	1	2	2	0	0	28	2196	0	1	1	0
151	1	2	2	0	0	28	2196	0	1	1	0
152	1	2	2	0	0	28	2196	0	1	1	0
153	1	2	2	0	0	28	2196	0	1	1	0
154	1	2	2	0	0	28	2196	0	1	1	0
155	1	2	2	0	0	28	2196	0	1	1	0
156	1	2	2	0	0	28	2196	0	1	1	0
157	1	2	2	0	0	28	2196	0	1	1	0
158	1	2	2	0	0	28	2196	0	1	1	0
159	1	2	2	0	0	28	2196	0	1	1	0
160	1	2	2	0	0	28	2196	0	1	1	0
161	1	2	2	0	0	28	2196	0	1	1	0
162	1	2	2	0	0	28	2196	0	1	1	0
163	1	2	2	0	0	28	2196	0	1	1	0
164	1	2	2	0	0	28	2196	0	1	1	0
165	1	2	2	0	0	28	2196	0	1	1	0
166	1	2	2	0	0	28	2196	0	1	1	0
167	1	2	2	0	0	28	2196	0	1	1	0
168	1	2	2	0	0	28	2196	0	1	1	0
169	1	2	2	0	0	28	2196	0	1	1	0
170	1	2	2	0	0	28	2196	0	1	1	0
171	1	2	2	0	0	28	2196	0	1	1	0
172	1	2	2	0	0	28	2196	0	1	1	0
173	1	2	2	0	0	28	2196	0	1	1	0
174	1	2	2	0	0	28	2196	0	1	1	0
175	1	2	2	0	0	28	2196	0	1	1	0
176	1	2	2	0	0	28	2196	0	1	1	0
177	1	2	2	0	0	28	2196	0	1	1	0
178	1	2	2	0	0	28	2196	0	1	1	0
179	1	2	2	0	0	28	2196	0	1	1	0
180	1	2	2	0	0	28	2196	0	1	1	0
181	1	2	2	0	0	28	2196	0	1	1	0
182	1	2	2	0	0	28	2196	0	1	1	0
183	1	2	2	0	0	28	2196	0	1	1	0
184	1	2	2	0	0	28	2196	0	1	1	0
185	1	2	2	0	0	28	2196	0	1	1	0
186	1	2	2	0	0	28	2196	0	1	1	0
187	1	2	2	0	0	28	2196	0	1	1	0
188	1	2	2	0	0	28	2196	0	1	1	0
189	1	2	2	0	0	28	2196	0	1	1	0
190	1	2	2	0	0	28	2196	0	1	1	0
191	1	2	2	0	0	28	2196	0	1	1	0
192	1	2	2	0	0	28	2196	0	1	1	0
193	1	2	2	0	0	28	2196	0	1	1	0
194	1	2	2	0	0	28	2196	0	1	1	0
195	1	2	2	0	0	28	2196	0	1	1	0
196	1	2	2	0	0	28	2196	0	1	1	0
197	1	2	2	0	0	28	2196	0	1	1	0
