% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.506	1	1	51	7	1	28	2292	0
0.506	2	2	51	7	1	28	2292	0
0.605	1	1	61	6	1	28	2292	0
0.605	2	2	61	6	1	28	2292	0
0.705	1	1	71	6	1	28	2292	0
0.705	2	2	71	6	1	28	2292	0
0.805	1	1	81	6	1	28	2292	0
0.805	2	2	81	6	1	28	2292	0
0.905	1	1	91	6	1	28	2292	0
0.905	2	2	91	6	1	28	2292	0
1.005	1	1	101	6	1	28	2292	0
1.005	2	2	101	6	1	28	2292	0
1.105	1	1	111	6	1	28	2292	0
1.105	2	2	111	6	1	28	2292	0
1.205	1	1	121	6	1	28	2292	0
1.205	2	2	121	6	1	28	2292	0
1.305	1	1	131	6	1	28	2292	0
1.305	2	2	131	6	1	28	2292	0
1.405	1	1	141	6	1	28	2292	0
1.405	2	2	141	6	1	28	2292	0
1.505	1	1	151	6	1	28	2292	0
1.505	2	2	151	6	1	28	2292	0
1.605	1	1	161	6	1	28	2292	0
1.605	2	2	161	6	1	28	2292	0
1.705	1	1	171	6	1	28	2292	0
1.705	2	2	171	6	1	28	2292	0
1.805	1	1	181	6	1	28	2292	0
1.805	2	2	181	6	1	28	2292	0
1.905	1	1	191	6	1	28	2292	0
1.905	2	2	191	6	1	28	2292	0
2.005	1	1	201	6	1	28	2292	0
2.005	2	2	201	6	1	28	2292	0
2.105	1	1	211	6	1	28	2292	0
2.105	2	2	211	6	1	28	2292	0
2.205	1	1	221	6	1	28	2292	0
2.205	2	2	221	6	1	28	2292	0
2.305	1	1	231	6	1	28	2292	0
2.305	2	2	231	6	1	28	2292	0
2.405	1	1	241	6	1	28	2292	0
2.405	2	2	241	6	1	28	2292	0
2.505	1	1	251	6	1	28	2292	0
2.505	2	2	251	6	1	28	2292	0
2.605	1	1	261	6	1	28	2292	0
2.605	2	2	261	6	1	28	2292	0
2.705	1	1	271	6	1	28	2292	0
2.705	2	2	271	6	1	28	2292	0
2.805	1	1	281	6	1	28	2292	0
2.805	2	2	281	6	1	28	2292	0
2.905	1	1	291	6	1	28	2292	0
2.905	2	2	291	6	1	28	2292	0
3.005	1	1	301	6	1	28	2292	0
3.005	2	2	301	6	1	28	2292	0
3.011	2	2	302	2	1	28	2292	0
3.012	2	2	302	3	1	28	2292	0
3.04	2	2	305	1	1	28	2292	0
3.041	2	2	305	2	1	28	2292	0
3.105	1	1	311	6	1	28	2292	0
3.105	2	2	311	6	1	28	2292	0
3.113	2	2	312	4	1	28	2292	0
3.149	2	2	315	10	1	28	2292	0
3.15	2	2	316	1	1	28	2292	0
3.151	2	2	316	2	1	28	2292	0
3.205	1	1	321	6	1	28	2292	0
3.205	2	2	321	6	1	28	2292	0
3.305	1	1	331	6	1	28	2292	0
3.305	2	2	331	6	1	28	2292	0
3.405	1	1	341	6	1	28	2292	0
3.405	2	2	341	6	1	28	2292	0
3.505	1	1	351	6	1	28	2292	0
3.505	2	2	351	6	1	28	2292	0
3.605	1	1	361	6	1	28	2292	0
3.605	2	2	361	6	1	28	2292	0
3.705	1	1	371	6	1	28	2292	0
3.705	2	2	371	6	1	28	2292	0
3.805	1	1	381	6	1	28	2292	0
3.805	2	2	381	6	1	28	2292	0
3.905	1	1	391	6	1	28	2292	0
3.905	2	2	391	6	1	28	2292	0
4.005	1	1	401	6	1	28	2292	0
4.005	2	2	401	6	1	28	2292	0
4.105	1	1	411	6	1	28	2292	0
4.105	2	2	411	6	1	28	2292	0
4.205	1	1	421	6	1	28	2292	0
4.205	2	2	421	6	1	28	2292	0
4.305	1	1	431	6	1	28	2292	0
4.305	2	2	431	6	1	28	2292	0
4.405	1	1	441	6	1	28	2292	0
4.405	2	2	441	6	1	28	2292	0
