% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	4199.36	0
0.042	1	2	2	2919.9	0
0.081	1	1	1	4199.36	0
0.082	1	2	2	2919.9	0
0.121	1	1	1	4199.36	0
0.122	1	2	2	2919.9	0
0.161	1	1	1	4199.36	0
0.162	1	2	2	2919.9	0
0.201	1	1	1	4199.36	0
0.202	1	2	2	2919.9	0
0.241	1	1	1	4199.36	0
0.242	1	2	2	2919.9	0
0.281	1	1	1	4199.36	0
0.282	1	2	2	2919.9	0
0.321	1	1	1	4199.36	0
0.322	1	2	2	2919.9	0
0.361	1	1	1	4199.36	0
0.362	1	2	2	2919.9	0
0.401	1	1	1	4199.36	0
0.402	1	2	2	2919.9	0
0.441	1	1	1	4199.36	0
0.442	1	2	2	2919.9	0
0.481	1	1	1	4199.36	0
0.482	1	2	2	2919.9	0
0.521	1	1	1	4199.36	0
0.522	1	2	2	2919.9	0
0.561	1	1	1	4199.36	0
0.562	1	2	2	2919.9	0
0.601	1	1	1	4199.36	0
0.602	1	2	2	2919.9	0
0.641	1	1	1	4199.36	0
0.642	1	2	2	2919.9	0
0.681	1	1	1	4199.36	0
0.682	1	2	2	2919.9	0
0.721	1	1	1	4199.36	0
0.722	1	2	2	2919.9	0
0.761	1	1	1	4199.36	0
0.762	1	2	2	2919.9	0
0.801	1	1	1	4199.36	0
0.802	1	2	2	2919.9	0
