% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
512	1	1	1	0	28	2292	0	1	0
512	2	2	1	0	28	2292	0	1	0
611	1	1	1	0	28	2292	0	1	0
611	2	2	1	0	28	2292	0	1	0
711	1	1	1	0	28	2292	0	1	0
711	2	2	1	0	28	2292	0	1	0
811	1	1	1	0	28	2292	0	1	0
811	2	2	1	0	28	2292	0	1	0
911	1	1	1	0	28	2292	0	1	0
911	2	2	1	0	28	2292	0	1	0
1011	1	1	1	0	28	2292	0	1	0
1011	2	2	1	0	28	2292	0	1	0
1111	1	1	1	0	28	2292	0	1	0
1111	2	2	1	0	28	2292	0	1	0
1211	1	1	1	0	28	2292	0	1	0
1211	2	2	1	0	28	2292	0	1	0
1311	1	1	1	0	28	2292	0	1	0
1311	2	2	1	0	28	2292	0	1	0
1411	1	1	1	0	28	2292	0	1	0
1411	2	2	1	0	28	2292	0	1	0
1511	1	1	1	0	28	2292	0	1	0
1511	2	2	1	0	28	2292	0	1	0
1611	1	1	1	0	28	2292	0	1	0
1611	2	2	1	0	28	2292	0	1	0
1711	1	1	1	0	28	2292	0	1	0
1711	2	2	1	0	28	2292	0	1	0
1811	1	1	1	0	28	2292	0	1	0
1811	2	2	1	0	28	2292	0	1	0
1911	1	1	1	0	28	2292	0	1	0
1911	2	2	1	0	28	2292	0	1	0
2011	1	1	1	0	28	2292	0	1	0
2011	2	2	1	0	28	2292	0	1	0
2111	1	1	1	0	28	2292	0	1	0
2111	2	2	1	0	28	2292	0	1	0
2211	1	1	1	0	28	2292	0	1	0
2211	2	2	1	0	28	2292	0	1	0
2311	1	1	1	0	28	2292	0	1	0
2311	2	2	1	0	28	2292	0	1	0
2411	1	1	1	0	28	2292	0	1	0
2411	2	2	1	0	28	2292	0	1	0
2511	1	1	1	0	28	2292	0	1	0
2511	2	2	1	0	28	2292	0	1	0
2611	1	1	1	0	28	2292	0	1	0
2611	2	2	1	0	28	2292	0	1	0
2711	1	1	1	0	28	2292	0	1	0
2711	2	2	1	0	28	2292	0	1	0
2811	1	1	1	0	28	2292	0	1	0
2811	2	2	1	0	28	2292	0	1	0
2911	1	1	1	0	28	2292	0	1	0
2911	2	2	1	0	28	2292	0	1	0
3011	1	1	1	0	28	2292	0	1	0
3011	2	2	1	0	28	2292	0	1	0
3017	2	2	1	0	28	2292	0	1	0
3018	2	2	1	0	28	2292	0	1	0
3046	2	2	1	0	28	2292	0	1	0
3047	2	2	1	0	28	2292	0	1	0
3111	1	1	1	0	28	2292	0	1	0
3111	2	2	1	0	28	2292	0	1	0
3119	2	2	1	0	28	2292	0	1	0
3155	2	2	1	0	28	2292	0	1	0
3156	2	2	1	0	28	2292	0	1	0
3157	2	2	1	0	28	2292	0	1	0
3211	1	1	1	0	28	2292	0	1	0
3211	2	2	1	0	28	2292	0	1	0
3311	1	1	1	0	28	2292	0	1	0
3311	2	2	1	0	28	2292	0	1	0
3411	1	1	1	0	28	2292	0	1	0
3411	2	2	1	0	28	2292	0	1	0
3511	1	1	1	0	28	2292	0	1	0
3511	2	2	1	0	28	2292	0	1	0
3611	1	1	1	0	28	2292	0	1	0
3611	2	2	1	0	28	2292	0	1	0
3711	1	1	1	0	28	2292	0	1	0
3711	2	2	1	0	28	2292	0	1	0
3811	1	1	1	0	28	2292	0	1	0
3811	2	2	1	0	28	2292	0	1	0
3911	1	1	1	0	28	2292	0	1	0
3911	2	2	1	0	28	2292	0	1	0
4011	1	1	1	0	28	2292	0	1	0
4011	2	2	1	0	28	2292	0	1	0
4111	1	1	1	0	28	2292	0	1	0
4111	2	2	1	0	28	2292	0	1	0
4211	1	1	1	0	28	2292	0	1	0
4211	2	2	1	0	28	2292	0	1	0
4311	1	1	1	0	28	2292	0	1	0
